dataset,accuracy,balanced_accuracy,ece,depth,n_params,runtime,llm_calls
abalone,0.2820205889394302,0.1362354261314503,0.1283217620301652,4.0,6.0,0.1538360118865966,6000.0
breast,0.9756795422031472,0.9804580622950224,3.89133964282065e-17,4.0,6.0,8.454427401224772,3200.0
cars,0.0273631840796019,0.0192226446979298,0.0261194029850746,4.0,6.0,22.006059408187866,6000.0
cholesterol,0.1155115511551155,0.0797149122807017,0.1056105610561055,4.0,6.0,19.75637686252594,6000.0
compas,0.6815081470253884,0.6790763236519963,5.0504840510136433e-17,4.0,6.0,9.94386613368988,4500.0
credit-g,0.752,0.679047619047619,5.373479439185758e-17,4.0,6.0,0.1940386295318603,6000.0
diabetes,0.7916666666666666,0.7369850746268657,6.216092455583559e-17,4.0,6.0,0.1349098682403564,6000.0
heart-statlog,0.8925925925925926,0.8875,4.605369583630279e-17,4.0,6.0,8.659668684005737,2100.0
liver,0.7495711835334476,0.5718346959926301,8.740863950307837e-17,4.0,6.0,0.0480463504791259,6000.0
vehicle,0.966903073286052,0.9612356103547012,3.77948263702181e-17,4.0,6.0,4.706317782402039,3600.0
wage,0.2022471910112359,0.0866121890554609,0.1104868913857678,4.0,6.0,0.0179660320281982,1200.0
wine,0.5487147914422041,0.2186656650015619,0.5460981991688472,4.0,6.0,21.64400553703308,6000.0
